timeStamp;userID;targetApp;eventType;url;content;target.workbookName;target.sheetName;target.id;target.class;target.tagName;target.type;target.name;target.value;target.innerText;target.checked;target.href;target.option;target.title;target.innerHTML;caseid
2019-10-21T00:10:09.640Z;vleno;Excel;copyCell;;John;StudentRecords.xlsx;Sheet1;A2;;;;;John;;;;;;;1.0
2019-10-21T00:10:12.216Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;John;;;;;INPUT;text;SingleLine;;;;;;;;1.0
2019-10-21T00:10:13.281Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine;John;;;;;;;1.0
2019-10-21T00:10:16.269Z;vleno;Excel;copyCell;;Doe;StudentRecords.xlsx;Sheet1;B2;;;;;Doe;;;;;;;1.0
2019-10-21T00:10:18.810Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;Doe;;;;;INPUT;text;SingleLine;John ;;;;;;;1.0
2019-10-21T00:10:19.161Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine;John Doe;;;;;;;1.0
2019-10-21T00:10:23.120Z;vleno;Excel;copyCell;;11/03/1986;StudentRecords.xlsx;Sheet1;C2;;;;;11/03/1986;;;;;;;1.0
2019-10-21T00:10:27.297Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;11/03/1986;;;Date-date;;INPUT;text;date;;;;;;;;1.0
2019-10-21T00:10:31.091Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;Date-date;;INPUT;text;date;11/03/1986;;;;;;;1.0
2019-10-21T00:10:35.436Z;vleno;Excel;copyCell;;+61 039 689 9324;StudentRecords.xlsx;Sheet1;D2;;;;;+61 039 689 9324;;;;;;;1.0
2019-10-21T00:10:38.416Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;+61 039 689 9324;;;PhoneNumber;;INPUT;text;countrycode;;;;;;;;1.0
2019-10-21T00:10:45.633Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;PhoneNumber;;INPUT;text;countrycode;039-689-9324;;;;;;;1.0
2019-10-21T00:10:48.760Z;vleno;Excel;copyCell;;jdoe@gmail.com;StudentRecords.xlsx;Sheet1;E2;;;;;jdoe@gmail.com;;;;;;;1.0
2019-10-21T00:10:51.008Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;jdoe@gmail.com;;;;;INPUT;text;Email;;;;;;;;1.0
2019-10-21T00:10:51.545Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;Email;jdoe@gmail.com;;;;;;;1.0
2019-10-21T00:10:53.761Z;vleno;Excel;copyCell;;Australia;StudentRecords.xlsx;Sheet1;F2;;;;;Australia;;;;;;;1.0
2019-10-21T00:10:56.728Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;Australia;;;;;INPUT;text;SingleLine1;;;;;;;;1.0
2019-10-21T00:10:57.177Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine1;Australia;;;;;;;1.0
2019-10-21T00:10:59.668Z;vleno;Excel;copyCell;;122 Albert St; Port Melbourne; VIC 3207; Australia;StudentRecords.xlsx;Sheet1;G2;;;;;122 Albert St; Port Melbourne; VIC 3207; Australia;1.0
2019-10-21T00:11:02.073Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;122 Albert St; Port Melbourne; VIC 3207; Australia;;;;;INPUT;text;Address_AddressLine1;;;;;1.0
2019-10-21T00:11:06.033Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;Address_AddressLine1;122 Albert St;;;;;;;1.0
2019-10-21T00:11:07.161Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;122 Albert St; Port Melbourne; VIC 3207; Australia;;;;;INPUT;text;Address_City;;;;;1.0
2019-10-21T00:11:12.936Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;Address_City;Port Melbourne;;;;;;;1.0
2019-10-21T00:11:15.192Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;122 Albert St; Port Melbourne; VIC 3207; Australia;;;;;INPUT;text;Address_Region;;;;;1.0
